"Time (s)","Illuminance (lx)"
7.073747013E1,0.000000000E0
7.084732208E1,0.000000000E0
7.095784255E1,0.000000000E0
7.106781947E1,0.000000000E0
7.117740961E1,0.000000000E0
7.128576313E1,0.000000000E0
7.139586918E1,0.000000000E0
7.150598674E1,0.000000000E0
7.161609785E1,0.000000000E0
7.172578062E1,0.000000000E0
7.183481946E1,0.000000000E0
7.194430492E1,0.000000000E0
7.205425511E1,0.000000000E0
7.216443909E1,0.000000000E0
7.227451900E1,0.000000000E0
7.238469811E1,0.000000000E0
7.249356271E1,0.000000000E0
7.260363314E1,0.000000000E0
7.271349994E1,0.000000000E0
7.282297413E1,0.000000000E0
7.293310608E1,0.000000000E0
7.304226830E1,0.000000000E0
7.315235268E1,0.000000000E0
7.326253121E1,0.000000000E0
7.337250406E1,0.000000000E0
7.348267582E1,0.000000000E0
7.359283392E1,0.000000000E0
7.370204241E1,0.000000000E0
7.381210380E1,0.000000000E0
7.392014162E1,0.000000000E0
7.403032036E1,0.000000000E0
7.414111693E1,0.000000000E0
7.425046562E1,0.000000000E0
7.436045048E1,0.000000000E0
7.447026647E1,1.000000000E0
7.457884614E1,1.000000000E0
7.468885697E1,1.000000000E0
7.479984338E1,1.000000000E0
7.490905352E1,2.000000000E0
7.501888408E1,2.000000000E0
7.512884088E1,3.000000000E0
7.523713256E1,3.000000000E0
7.534650805E1,3.000000000E0
7.545652279E1,3.000000000E0
7.556668560E1,3.000000000E0
7.567651999E1,3.000000000E0
7.578601693E1,3.000000000E0
7.589511927E1,3.000000000E0
7.600491954E1,1.000000000E0
7.611500340E1,1.000000000E0
7.622506439E1,2.000000000E0
7.633512008E1,0.000000000E0
7.644396836E1,0.000000000E0
7.655359204E1,0.000000000E0
7.666338922E1,0.000000000E0
7.677356214E1,0.000000000E0
7.688417850E1,0.000000000E0
7.699426283E1,0.000000000E0
7.710295111E1,0.000000000E0
7.721384675E1,0.000000000E0
7.732311175E1,0.000000000E0
7.743337653E1,0.000000000E0
7.754451966E1,0.000000000E0
7.765357665E1,0.000000000E0
7.776346063E1,0.000000000E0
7.787272042E1,0.000000000E0
7.798153586E1,0.000000000E0
7.809119720E1,0.000000000E0
7.820200644E1,0.000000000E0
7.831268621E1,0.000000000E0
7.842155269E1,0.000000000E0
7.853122776E1,0.000000000E0
7.863956899E1,0.000000000E0
7.874946341E1,0.000000000E0
7.885964531E1,0.000000000E0
7.897114412E1,0.000000000E0
7.907954002E1,3.000000000E0
7.918779163E1,3.000000000E0
7.929731688E1,3.000000000E0
7.940715450E1,3.000000000E0
7.951814552E1,3.000000000E0
7.962806580E1,3.000000000E0
7.973642676E1,3.000000000E0
7.984608149E1,3.000000000E0
7.995550957E1,3.000000000E0
8.006560837E1,3.000000000E0
8.017573824E1,3.000000000E0
8.028538681E1,3.000000000E0
8.039455486E1,3.000000000E0
8.050456751E1,3.000000000E0
8.061382889E1,3.000000000E0
8.072398701E1,3.000000000E0
8.083403705E1,3.000000000E0
8.094337641E1,3.000000000E0
8.105324230E1,2.000000000E0
8.116358139E1,0.000000000E0
8.127437169E1,1.000000000E0
8.138352501E1,2.000000000E0
8.149349869E1,1.000000000E0
8.160359236E1,2.000000000E0
8.171177641E1,2.000000000E0
8.182197757E1,2.000000000E0
8.193212127E1,3.000000000E0
8.204298620E1,3.000000000E0
8.215167728E1,3.000000000E0
8.226158214E1,3.000000000E0
8.236985638E1,3.000000000E0
8.247975779E1,3.000000000E0
8.259126520E1,3.000000000E0
8.270036240E1,4.000000000E0
8.280993692E1,4.000000000E0
8.291964309E1,4.000000000E0
8.302770615E1,4.000000000E0
8.313766002E1,3.000000000E0
8.324937593E1,0.000000000E0
8.335949345E1,1.000000000E0
8.346838951E1,1.000000000E0
8.357798701E1,0.000000000E0
8.368665459E1,0.000000000E0
8.379618176E1,0.000000000E0
8.390604467E1,1.000000000E0
8.401613690E1,0.000000000E0
8.412615572E1,0.000000000E0
8.423594175E1,1.000000000E0
8.434500181E1,1.000000000E0
8.445454191E1,3.000000000E0
8.456454178E1,3.000000000E0
8.467458240E1,3.000000000E0
8.478460522E1,4.000000000E0
8.489441939E1,4.000000000E0
8.500439855E1,4.000000000E0
8.511354092E1,3.000000000E0
8.522307696E1,3.000000000E0
8.533325133E1,3.000000000E0
8.544306607E1,3.000000000E0
8.555252654E1,4.000000000E0
8.566252396E1,3.000000000E0
8.577258336E1,3.000000000E0
8.588281406E1,3.000000000E0
8.599295712E1,3.000000000E0
8.610254065E1,3.000000000E0
8.621244173E1,4.000000000E0
8.632187379E1,4.000000000E0
8.643100702E1,4.000000000E0
8.654177969E1,4.000000000E0
8.665115151E1,3.000000000E0
8.676083353E1,3.000000000E0
8.687120295E1,2.000000000E0
8.697886489E1,3.000000000E0
8.708889332E1,3.000000000E0
8.719966591E1,3.000000000E0
8.730934033E1,2.000000000E0
8.741903325E1,3.000000000E0
8.752804710E1,3.000000000E0
8.763724525E1,2.000000000E0
8.774665477E1,2.000000000E0
8.785665350E1,1.000000000E0
8.796672801E1,1.000000000E0
8.807687420E1,2.000000000E0
8.818638432E1,2.000000000E0
8.829560369E1,2.000000000E0
8.840504455E1,3.000000000E0
8.851501836E1,3.000000000E0
8.862517809E1,3.000000000E0
8.873528951E1,3.000000000E0
8.884494485E1,3.000000000E0
8.895415354E1,4.000000000E0
8.906361201E1,4.000000000E0
8.917356513E1,3.000000000E0
8.928442610E1,3.000000000E0
8.939375441E1,3.000000000E0
8.950372058E1,3.000000000E0
8.961322960E1,3.000000000E0
8.972314675E1,3.000000000E0
8.983312683E1,3.000000000E0
8.994337819E1,3.000000000E0
9.005349334E1,3.000000000E0
9.016408515E1,3.000000000E0
9.027420798E1,2.000000000E0
9.038292305E1,1.000000000E0
9.049174151E1,1.000000000E0
9.060258336E1,1.000000000E0
9.071259205E1,0.000000000E0
9.082303573E1,0.000000000E0
9.093137782E1,0.000000000E0
9.103960674E1,0.000000000E0
9.114961943E1,0.000000000E0
9.126104489E1,0.000000000E0
9.137117563E1,0.000000000E0
9.147985964E1,0.000000000E0
9.158963111E1,0.000000000E0
9.169961067E1,1.000000000E0
9.180942063E1,1.000000000E0
9.191745347E1,1.000000000E0
9.202755592E1,0.000000000E0
9.213765445E1,1.000000000E0
9.224828026E1,0.000000000E0
9.235795664E1,0.000000000E0
9.246602528E1,0.000000000E0
9.257585344E1,0.000000000E0
9.268598605E1,0.000000000E0
9.279600416E1,1.000000000E0
9.290585511E1,2.000000000E0
9.301474930E1,2.000000000E0
9.312441348E1,1.000000000E0
9.323420679E1,0.000000000E0
9.334440650E1,0.000000000E0
9.345439629E1,0.000000000E0
9.356444310E1,0.000000000E0
9.367361719E1,0.000000000E0
9.378422452E1,0.000000000E0
9.389351957E1,0.000000000E0
9.400291777E1,0.000000000E0
9.411305688E1,0.000000000E0
9.422322098E1,1.000000000E0
9.433229913E1,3.000000000E0
9.444244891E1,3.000000000E0
9.455317258E1,3.000000000E0
